rows	columns	distances
20x_PL_DA10029	20x_Q5_DA10040	0.449207
20x_PL_DA10040	20x_Q5_DA10040	0.17109
20x_Q5_DA10001	20x_Q5_DA10040	0.404934
20x_Q5_DA10016	20x_Q5_DA10040	0.690247
20x_Q5_DA10029	20x_Q5_DA10040	0.42799
20x_ACC_DA10040	25x_ACC_DA10001	0.353912
20x_K_DA10001	25x_ACC_DA10001	0.162346
20x_K_DA10040	25x_ACC_DA10001	0.355947
20x_PHU_DA10001	25x_ACC_DA10001	0.1529
20x_PHU_DA10016	25x_ACC_DA10001	0.596946
20x_PHU_DA10029	25x_ACC_DA10001	0.41673
20x_PHU_DA10040	25x_ACC_DA10001	0.38956
20x_PL_DA10001	25x_ACC_DA10001	0.179833
20x_PL_DA10016	25x_ACC_DA10001	0.588852
20x_PL_DA10029	25x_ACC_DA10001	0.434624
20x_PL_DA10040	25x_ACC_DA10001	0.36732
20x_Q5_DA10001	25x_ACC_DA10001	0.17725
20x_Q5_DA10016	25x_ACC_DA10001	0.588841
20x_Q5_DA10029	25x_ACC_DA10001	0.437012
20x_Q5_DA10040	25x_ACC_DA10001	0.409644
20x_ACC_DA10040	25x_ACC_DA10016	0.690466
20x_K_DA10001	25x_ACC_DA10016	0.600687
20x_K_DA10040	25x_ACC_DA10016	0.684741
20x_PHU_DA10001	25x_ACC_DA10016	0.617627
20x_PHU_DA10016	25x_ACC_DA10016	0.159337
20x_PHU_DA10029	25x_ACC_DA10016	0.52441
20x_PHU_DA10040	25x_ACC_DA10016	0.694626
20x_PL_DA10001	25x_ACC_DA10016	0.628846
20x_PL_DA10016	25x_ACC_DA10016	0.145299
20x_PL_DA10029	25x_ACC_DA10016	0.549115
20x_PL_DA10040	25x_ACC_DA10016	0.694191
20x_Q5_DA10001	25x_ACC_DA10016	0.629676
20x_Q5_DA10016	25x_ACC_DA10016	0.144088
20x_Q5_DA10029	25x_ACC_DA10016	0.543621
20x_Q5_DA10040	25x_ACC_DA10016	0.701784
25x_ACC_DA10001	25x_ACC_DA10016	0.602543
20x_ACC_DA10040	25x_ACC_DA10029	0.430829
20x_K_DA10001	25x_ACC_DA10029	0.463259
20x_K_DA10040	25x_ACC_DA10029	0.413561
20x_PHU_DA10001	25x_ACC_DA10029	0.465006
20x_PHU_DA10016	25x_ACC_DA10029	0.466091
20x_PHU_DA10029	25x_ACC_DA10029	0.185395
20x_PHU_DA10040	25x_ACC_DA10029	0.461472
20x_PL_DA10001	25x_ACC_DA10029	0.476466
20x_PL_DA10016	25x_ACC_DA10029	0.468361
20x_PL_DA10029	25x_ACC_DA10029	0.194413
20x_PL_DA10040	25x_ACC_DA10029	0.458603
20x_Q5_DA10001	25x_ACC_DA10029	0.475903
20x_Q5_DA10016	25x_ACC_DA10029	0.461352
20x_Q5_DA10029	25x_ACC_DA10029	0.181273
20x_Q5_DA10040	25x_ACC_DA10029	0.464013
25x_ACC_DA10001	25x_ACC_DA10029	0.440869
25x_ACC_DA10016	25x_ACC_DA10029	0.500992
20x_ACC_DA10040	25x_ACC_DA10040	0.16852
20x_K_DA10001	25x_ACC_DA10040	0.413928
20x_K_DA10040	25x_ACC_DA10040	0.15946
20x_PHU_DA10001	25x_ACC_DA10040	0.380697
20x_PHU_DA10016	25x_ACC_DA10040	0.680694
20x_PHU_DA10029	25x_ACC_DA10040	0.428062
20x_PHU_DA10040	25x_ACC_DA10040	0.18194
20x_PL_DA10001	25x_ACC_DA10040	0.418574
20x_PL_DA10016	25x_ACC_DA10040	0.683882
20x_PL_DA10029	25x_ACC_DA10040	0.432322
20x_PL_DA10040	25x_ACC_DA10040	0.186434
20x_Q5_DA10001	25x_ACC_DA10040	0.39327
20x_Q5_DA10016	25x_ACC_DA10040	0.681216
20x_Q5_DA10029	25x_ACC_DA10040	0.428216
20x_Q5_DA10040	25x_ACC_DA10040	0.181685
25x_ACC_DA10001	25x_ACC_DA10040	0.379083
25x_ACC_DA10016	25x_ACC_DA10040	0.690029
25x_ACC_DA10029	25x_ACC_DA10040	0.430236
20x_ACC_DA10040	25x_K_DA10001	0.381294
20x_K_DA10001	25x_K_DA10001	0.150657
20x_K_DA10040	25x_K_DA10001	0.383906
20x_PHU_DA10001	25x_K_DA10001	0.181962
20x_PHU_DA10016	25x_K_DA10001	0.617488
20x_PHU_DA10029	25x_K_DA10001	0.452202
20x_PHU_DA10040	25x_K_DA10001	0.419633
20x_PL_DA10001	25x_K_DA10001	0.166154
20x_PL_DA10016	25x_K_DA10001	0.609391
20x_PL_DA10029	25x_K_DA10001	0.46178399999999997
20x_PL_DA10040	25x_K_DA10001	0.385887
20x_Q5_DA10001	25x_K_DA10001	0.175739
20x_Q5_DA10016	25x_K_DA10001	0.609329
20x_Q5_DA10029	25x_K_DA10001	0.470896
20x_Q5_DA10040	25x_K_DA10001	0.438522
25x_ACC_DA10001	25x_K_DA10001	0.169817
25x_ACC_DA10016	25x_K_DA10001	0.619765
25x_ACC_DA10029	25x_K_DA10001	0.475913
25x_ACC_DA10040	25x_K_DA10001	0.408474
20x_ACC_DA10040	25x_K_DA10016	0.680853
20x_K_DA10001	25x_K_DA10016	0.581296
20x_K_DA10040	25x_K_DA10016	0.668965
20x_PHU_DA10001	25x_K_DA10016	0.605004
20x_PHU_DA10016	25x_K_DA10016	0.201049
20x_PHU_DA10029	25x_K_DA10016	0.514689
20x_PHU_DA10040	25x_K_DA10016	0.685238
20x_PL_DA10001	25x_K_DA10016	0.613042
20x_PL_DA10016	25x_K_DA10016	0.187521
20x_PL_DA10029	25x_K_DA10016	0.539468
20x_PL_DA10040	25x_K_DA10016	0.683
20x_Q5_DA10001	25x_K_DA10016	0.61997
20x_Q5_DA10016	25x_K_DA10016	0.18584
20x_Q5_DA10029	25x_K_DA10016	0.5316
20x_Q5_DA10040	25x_K_DA10016	0.691334
25x_ACC_DA10001	25x_K_DA10016	0.587474
25x_ACC_DA10016	25x_K_DA10016	0.182429
25x_ACC_DA10029	25x_K_DA10016	0.49068
25x_ACC_DA10040	25x_K_DA10016	0.682063
25x_K_DA10001	25x_K_DA10016	0.604
20x_ACC_DA10040	25x_K_DA10029	0.449746
20x_K_DA10001	25x_K_DA10029	0.436047
20x_K_DA10040	25x_K_DA10029	0.420735
20x_PHU_DA10001	25x_K_DA10029	0.467595
20x_PHU_DA10016	25x_K_DA10029	0.500981
20x_PHU_DA10029	25x_K_DA10029	0.17865
20x_PHU_DA10040	25x_K_DA10029	0.480631
20x_PL_DA10001	25x_K_DA10029	0.465181
20x_PL_DA10016	25x_K_DA10029	0.500381
20x_PL_DA10029	25x_K_DA10029	0.189449
20x_PL_DA10040	25x_K_DA10029	0.476104
20x_Q5_DA10001	25x_K_DA10029	0.480299
20x_Q5_DA10016	25x_K_DA10029	0.498944
20x_Q5_DA10029	25x_K_DA10029	0.202217
20x_Q5_DA10040	25x_K_DA10029	0.484614
25x_ACC_DA10001	25x_K_DA10029	0.437561
25x_ACC_DA10016	25x_K_DA10029	0.536708
25x_ACC_DA10029	25x_K_DA10029	0.169832
25x_ACC_DA10040	25x_K_DA10029	0.449343
25x_K_DA10001	25x_K_DA10029	0.451436
25x_K_DA10016	25x_K_DA10029	0.517819
20x_ACC_DA10040	25x_K_DA10040	0.194099
20x_K_DA10001	25x_K_DA10040	0.436769
20x_K_DA10040	25x_K_DA10040	0.174388
20x_PHU_DA10001	25x_K_DA10040	0.417414
20x_PHU_DA10016	25x_K_DA10040	0.679981
20x_PHU_DA10029	25x_K_DA10040	0.44289
20x_PHU_DA10040	25x_K_DA10040	0.216483
20x_PL_DA10001	25x_K_DA10040	0.441113
20x_PL_DA10016	25x_K_DA10040	0.684262
20x_PL_DA10029	25x_K_DA10040	0.439751
20x_PL_DA10040	25x_K_DA10040	0.213803
20x_Q5_DA10001	25x_K_DA10040	0.427959
20x_Q5_DA10016	25x_K_DA10040	0.681415
20x_Q5_DA10029	25x_K_DA10040	0.439091
20x_Q5_DA10040	25x_K_DA10040	0.212814
25x_ACC_DA10001	25x_K_DA10040	0.408635
25x_ACC_DA10016	25x_K_DA10040	0.690196
25x_ACC_DA10029	25x_K_DA10040	0.416404
25x_ACC_DA10040	25x_K_DA10040	0.172378
25x_K_DA10001	25x_K_DA10040	0.428882
25x_K_DA10016	25x_K_DA10040	0.679145
25x_K_DA10029	25x_K_DA10040	0.432927
20x_ACC_DA10040	25x_PHU_DA10001	0.36037400000000003
20x_K_DA10001	25x_PHU_DA10001	0.176501
20x_K_DA10040	25x_PHU_DA10001	0.365252
20x_PHU_DA10001	25x_PHU_DA10001	0.143242
20x_PHU_DA10016	25x_PHU_DA10001	0.596969
20x_PHU_DA10029	25x_PHU_DA10001	0.422813
20x_PHU_DA10040	25x_PHU_DA10001	0.376151
20x_PL_DA10001	25x_PHU_DA10001	0.187191
20x_PL_DA10016	25x_PHU_DA10001	0.591578
20x_PL_DA10029	25x_PHU_DA10001	0.449149
20x_PL_DA10040	25x_PHU_DA10001	0.350291
20x_Q5_DA10001	25x_PHU_DA10001	0.162078
20x_Q5_DA10016	25x_PHU_DA10001	0.588653
20x_Q5_DA10029	25x_PHU_DA10001	0.447709
20x_Q5_DA10040	25x_PHU_DA10001	0.394704
25x_ACC_DA10001	25x_PHU_DA10001	0.163411
25x_ACC_DA10016	25x_PHU_DA10001	0.597343
25x_ACC_DA10029	25x_PHU_DA10001	0.464509
25x_ACC_DA10040	25x_PHU_DA10001	0.381909
25x_K_DA10001	25x_PHU_DA10001	0.186296
25x_K_DA10016	25x_PHU_DA10001	0.587855
25x_K_DA10029	25x_PHU_DA10001	0.465172
25x_K_DA10040	25x_PHU_DA10001	0.413247
20x_ACC_DA10040	25x_PHU_DA10016	0.687247
20x_K_DA10001	25x_PHU_DA10016	0.601793
20x_K_DA10040	25x_PHU_DA10016	0.67861
20x_PHU_DA10001	25x_PHU_DA10016	0.619846
20x_PHU_DA10016	25x_PHU_DA10016	0.158511
20x_PHU_DA10029	25x_PHU_DA10016	0.525204
20x_PHU_DA10040	25x_PHU_DA10016	0.691501
20x_PL_DA10001	25x_PHU_DA10016	0.63005
20x_PL_DA10016	25x_PHU_DA10016	0.145075
20x_PL_DA10029	25x_PHU_DA10016	0.548872
20x_PL_DA10040	25x_PHU_DA10016	0.690492
20x_Q5_DA10001	25x_PHU_DA10016	0.63141099999999994
20x_Q5_DA10016	25x_PHU_DA10016	0.146309
20x_Q5_DA10029	25x_PHU_DA10016	0.541654
20x_Q5_DA10040	25x_PHU_DA10016	0.6967
25x_ACC_DA10001	25x_PHU_DA10016	0.605603
25x_ACC_DA10016	25x_PHU_DA10016	0.128058
25x_ACC_DA10029	25x_PHU_DA10016	0.499542
25x_ACC_DA10040	25x_PHU_DA10016	0.685867
25x_K_DA10001	25x_PHU_DA10016	0.620485
25x_K_DA10016	25x_PHU_DA10016	0.193014
25x_K_DA10029	25x_PHU_DA10016	0.536219
25x_K_DA10040	25x_PHU_DA10016	0.685872
25x_PHU_DA10001	25x_PHU_DA10016	0.599131
20x_ACC_DA10040	25x_PHU_DA10029	0.440955
20x_K_DA10001	25x_PHU_DA10029	0.467295
20x_K_DA10040	25x_PHU_DA10029	0.428591
20x_PHU_DA10001	25x_PHU_DA10029	0.450192
20x_PHU_DA10016	25x_PHU_DA10029	0.482997
20x_PHU_DA10029	25x_PHU_DA10029	0.144891
20x_PHU_DA10040	25x_PHU_DA10029	0.429105
20x_PL_DA10001	25x_PHU_DA10029	0.474153
20x_PL_DA10016	25x_PHU_DA10029	0.489346
20x_PL_DA10029	25x_PHU_DA10029	0.160598
20x_PL_DA10040	25x_PHU_DA10029	0.427299
20x_Q5_DA10001	25x_PHU_DA10029	0.459651
20x_Q5_DA10016	25x_PHU_DA10029	0.481502
20x_Q5_DA10029	25x_PHU_DA10029	0.140659
20x_Q5_DA10040	25x_PHU_DA10029	0.423424
25x_ACC_DA10001	25x_PHU_DA10029	0.448278
25x_ACC_DA10016	25x_PHU_DA10029	0.519617
25x_ACC_DA10029	25x_PHU_DA10029	0.171546
25x_ACC_DA10040	25x_PHU_DA10029	0.431994
25x_K_DA10001	25x_PHU_DA10029	0.487306
25x_K_DA10016	25x_PHU_DA10029	0.513428
25x_K_DA10029	25x_PHU_DA10029	0.209471
25x_K_DA10040	25x_PHU_DA10029	0.45157
25x_PHU_DA10001	25x_PHU_DA10029	0.449511
25x_PHU_DA10016	25x_PHU_DA10029	0.516457
20x_ACC_DA10040	25x_PHU_DA10040	0.188728
20x_K_DA10001	25x_PHU_DA10040	0.429623
20x_K_DA10040	25x_PHU_DA10040	0.186523
20x_PHU_DA10001	25x_PHU_DA10040	0.386623
20x_PHU_DA10016	25x_PHU_DA10040	0.678931
20x_PHU_DA10029	25x_PHU_DA10040	0.426131
20x_PHU_DA10040	25x_PHU_DA10040	0.164606
20x_PL_DA10001	25x_PHU_DA10040	0.425835
20x_PL_DA10016	25x_PHU_DA10040	0.684058
20x_PL_DA10029	25x_PHU_DA10040	0.440573
20x_PL_DA10040	25x_PHU_DA10040	0.171356
20x_Q5_DA10001	25x_PHU_DA10040	0.396327
20x_Q5_DA10016	25x_PHU_DA10040	0.682121
20x_Q5_DA10029	25x_PHU_DA10040	0.423035
20x_Q5_DA10040	25x_PHU_DA10040	0.153547
25x_ACC_DA10001	25x_PHU_DA10040	0.400255
25x_ACC_DA10016	25x_PHU_DA10040	0.692079
25x_ACC_DA10029	25x_PHU_DA10040	0.457946
25x_ACC_DA10040	25x_PHU_DA10040	0.170671
25x_K_DA10001	25x_PHU_DA10040	0.428801
25x_K_DA10016	25x_PHU_DA10040	0.682518
25x_K_DA10029	25x_PHU_DA10040	0.480638
25x_K_DA10040	25x_PHU_DA10040	0.196503
25x_PHU_DA10001	25x_PHU_DA10040	0.387749
25x_PHU_DA10016	25x_PHU_DA10040	0.685926
25x_PHU_DA10029	25x_PHU_DA10040	0.422563
20x_ACC_DA10040	25x_PL_DA10001	0.351065
20x_K_DA10001	25x_PL_DA10001	0.180275
20x_K_DA10040	25x_PL_DA10001	0.353715
20x_PHU_DA10001	25x_PL_DA10001	0.165737
20x_PHU_DA10016	25x_PL_DA10001	0.612969
20x_PHU_DA10029	25x_PL_DA10001	0.437673
20x_PHU_DA10040	25x_PL_DA10001	0.384677
20x_PL_DA10001	25x_PL_DA10001	0.178376
20x_PL_DA10016	25x_PL_DA10001	0.608786
20x_PL_DA10029	25x_PL_DA10001	0.448266
20x_PL_DA10040	25x_PL_DA10001	0.354824
20x_Q5_DA10001	25x_PL_DA10001	0.165327
20x_Q5_DA10016	25x_PL_DA10001	0.604784
20x_Q5_DA10029	25x_PL_DA10001	0.453773
20x_Q5_DA10040	25x_PL_DA10001	0.398133
25x_ACC_DA10001	25x_PL_DA10001	0.168829
25x_ACC_DA10016	25x_PL_DA10001	0.612867
25x_ACC_DA10029	25x_PL_DA10001	0.467533
25x_ACC_DA10040	25x_PL_DA10001	0.371021
25x_K_DA10001	25x_PL_DA10001	0.177516
25x_K_DA10016	25x_PL_DA10001	0.605524
25x_K_DA10029	25x_PL_DA10001	0.473044
25x_K_DA10040	25x_PL_DA10001	0.399611
25x_PHU_DA10001	25x_PL_DA10001	0.155535
25x_PHU_DA10016	25x_PL_DA10001	0.612673
25x_PHU_DA10029	25x_PL_DA10001	0.461567
25x_PHU_DA10040	25x_PL_DA10001	0.38635
20x_ACC_DA10040	25x_PL_DA10016	0.687385
20x_K_DA10001	25x_PL_DA10016	0.595115
20x_K_DA10040	25x_PL_DA10016	0.681774
20x_PHU_DA10001	25x_PL_DA10016	0.615564
20x_PHU_DA10016	25x_PL_DA10016	0.145009
20x_PHU_DA10029	25x_PL_DA10016	0.515385
20x_PHU_DA10040	25x_PL_DA10016	0.694374
20x_PL_DA10001	25x_PL_DA10016	0.622581
20x_PL_DA10016	25x_PL_DA10016	0.143954
20x_PL_DA10029	25x_PL_DA10016	0.538928
20x_PL_DA10040	25x_PL_DA10016	0.691372
20x_Q5_DA10001	25x_PL_DA10016	0.626372
20x_Q5_DA10016	25x_PL_DA10016	0.142727
20x_Q5_DA10029	25x_PL_DA10016	0.534765
20x_Q5_DA10040	25x_PL_DA10016	0.699293
25x_ACC_DA10001	25x_PL_DA10016	0.599818
25x_ACC_DA10016	25x_PL_DA10016	0.144871
25x_ACC_DA10029	25x_PL_DA10016	0.491473
25x_ACC_DA10040	25x_PL_DA10016	0.68606
25x_K_DA10001	25x_PL_DA10016	0.615645
25x_K_DA10016	25x_PL_DA10016	0.182537
25x_K_DA10029	25x_PL_DA10016	0.528114
25x_K_DA10040	25x_PL_DA10016	0.686404
25x_PHU_DA10001	25x_PL_DA10016	0.59465
25x_PHU_DA10016	25x_PL_DA10016	0.145475
25x_PHU_DA10029	25x_PL_DA10016	0.511956
25x_PHU_DA10040	25x_PL_DA10016	0.689061
25x_PL_DA10001	25x_PL_DA10016	0.608839
20x_ACC_DA10040	25x_PL_DA10029	0.434913
20x_K_DA10001	25x_PL_DA10029	0.432899
20x_K_DA10040	25x_PL_DA10029	0.420114
20x_PHU_DA10001	25x_PL_DA10029	0.428855
20x_PHU_DA10016	25x_PL_DA10029	0.484305
20x_PHU_DA10029	25x_PL_DA10029	0.122314
20x_PHU_DA10040	25x_PL_DA10029	0.429202
20x_PL_DA10001	25x_PL_DA10029	0.444156
20x_PL_DA10016	25x_PL_DA10029	0.486054
20x_PL_DA10029	25x_PL_DA10029	0.154686
20x_PL_DA10040	25x_PL_DA10029	0.425022
20x_Q5_DA10001	25x_PL_DA10029	0.438012
20x_Q5_DA10016	25x_PL_DA10029	0.483535
20x_Q5_DA10029	25x_PL_DA10029	0.152559
20x_Q5_DA10040	25x_PL_DA10029	0.428111
25x_ACC_DA10001	25x_PL_DA10029	0.421044
25x_ACC_DA10016	25x_PL_DA10029	0.521388
25x_ACC_DA10029	25x_PL_DA10029	0.173584
25x_ACC_DA10040	25x_PL_DA10029	0.427594
25x_K_DA10001	25x_PL_DA10029	0.454277
25x_K_DA10016	25x_PL_DA10029	0.511949
25x_K_DA10029	25x_PL_DA10029	0.176689
25x_K_DA10040	25x_PL_DA10029	0.440958
25x_PHU_DA10001	25x_PL_DA10029	0.426747
25x_PHU_DA10016	25x_PL_DA10029	0.520901
25x_PHU_DA10029	25x_PL_DA10029	0.146112
25x_PHU_DA10040	25x_PL_DA10029	0.425482
25x_PL_DA10001	25x_PL_DA10029	0.439509
25x_PL_DA10016	25x_PL_DA10029	0.510265
20x_ACC_DA10040	25x_PL_DA10040	0.178794
20x_K_DA10001	25x_PL_DA10040	0.412344
20x_K_DA10040	25x_PL_DA10040	0.183089
20x_PHU_DA10001	25x_PL_DA10040	0.374261
20x_PHU_DA10016	25x_PL_DA10040	0.679603
20x_PHU_DA10029	25x_PL_DA10040	0.43713
20x_PHU_DA10040	25x_PL_DA10040	0.176094
20x_PL_DA10001	25x_PL_DA10040	0.410204
20x_PL_DA10016	25x_PL_DA10040	0.682423
20x_PL_DA10029	25x_PL_DA10040	0.441978
20x_PL_DA10040	25x_PL_DA10040	0.169258
20x_Q5_DA10001	25x_PL_DA10040	0.387681
20x_Q5_DA10016	25x_PL_DA10040	0.680363
20x_Q5_DA10029	25x_PL_DA10040	0.432474
20x_Q5_DA10040	25x_PL_DA10040	0.170155
25x_ACC_DA10001	25x_PL_DA10040	0.382936
25x_ACC_DA10016	25x_PL_DA10040	0.69058
25x_ACC_DA10029	25x_PL_DA10040	0.457996
25x_ACC_DA10040	25x_PL_DA10040	0.169133
25x_K_DA10001	25x_PL_DA10040	0.413
25x_K_DA10016	25x_PL_DA10040	0.681554
25x_K_DA10029	25x_PL_DA10040	0.482343
25x_K_DA10040	25x_PL_DA10040	0.190052
25x_PHU_DA10001	25x_PL_DA10040	0.375451
25x_PHU_DA10016	25x_PL_DA10040	0.686295
25x_PHU_DA10029	25x_PL_DA10040	0.436687
25x_PHU_DA10040	25x_PL_DA10040	0.157624
25x_PL_DA10001	25x_PL_DA10040	0.366403
25x_PL_DA10016	25x_PL_DA10040	0.685079
25x_PL_DA10029	25x_PL_DA10040	0.432867
20x_ACC_DA10040	25x_Q5_DA10001	0.353955
20x_K_DA10001	25x_Q5_DA10001	0.21143
20x_K_DA10040	25x_Q5_DA10001	0.35682
20x_PHU_DA10001	25x_Q5_DA10001	0.19965
20x_PHU_DA10016	25x_Q5_DA10001	0.631826
20x_PHU_DA10029	25x_Q5_DA10001	0.472555
20x_PHU_DA10040	25x_Q5_DA10001	0.402343
20x_PL_DA10001	25x_Q5_DA10001	0.214905
20x_PL_DA10016	25x_Q5_DA10001	0.630729
20x_PL_DA10029	25x_Q5_DA10001	0.474896
20x_PL_DA10040	25x_Q5_DA10001	0.374421
20x_Q5_DA10001	25x_Q5_DA10001	0.19382
20x_Q5_DA10016	25x_Q5_DA10001	0.626889
20x_Q5_DA10029	25x_Q5_DA10001	0.485011
20x_Q5_DA10040	25x_Q5_DA10001	0.413169
25x_ACC_DA10001	25x_Q5_DA10001	0.206863
25x_ACC_DA10016	25x_Q5_DA10001	0.629353
25x_ACC_DA10029	25x_Q5_DA10001	0.484849
25x_ACC_DA10040	25x_Q5_DA10001	0.371677
25x_K_DA10001	25x_Q5_DA10001	0.207381
25x_K_DA10016	25x_Q5_DA10001	0.628609
25x_K_DA10029	25x_Q5_DA10001	0.492178
25x_K_DA10040	25x_Q5_DA10001	0.394563
25x_PHU_DA10001	25x_Q5_DA10001	0.185913
25x_PHU_DA10016	25x_Q5_DA10001	0.626318
25x_PHU_DA10029	25x_Q5_DA10001	0.493388
25x_PHU_DA10040	25x_Q5_DA10001	0.400299
25x_PL_DA10001	25x_Q5_DA10001	0.164029
25x_PL_DA10016	25x_Q5_DA10001	0.627039
25x_PL_DA10029	25x_Q5_DA10001	0.474202
25x_PL_DA10040	25x_Q5_DA10001	0.383441
20x_ACC_DA10040	25x_Q5_DA10016	0.687354
20x_K_DA10001	25x_Q5_DA10016	0.635985
20x_K_DA10040	25x_Q5_DA10016	0.680231
20x_PHU_DA10001	25x_Q5_DA10016	0.649881
20x_PHU_DA10016	25x_Q5_DA10016	0.191652
20x_PHU_DA10029	25x_Q5_DA10016	0.547412
20x_PHU_DA10040	25x_Q5_DA10016	0.696719
