taq,cycles,sample_name,total_seqs,at_rate,ag_rate,ac_rate,ta_rate,tg_rate,tc_rate,ga_rate,gt_rate,gc_rate,ca_rate,ct_rate,cg_rate,at_seq_prev,ag_seq_prev,ac_seq_prev,ta_seq_prev,tg_seq_prev,tc_seq_prev,ga_seq_prev,gt_seq_prev,gc_seq_prev,ca_seq_prev,ct_seq_prev,cg_seq_prev
ACC,35x,DNA1,56838,5.104270723843307e-5,2.3588128467679154e-4,5.2085814334586336e-5,6.24473448230421e-5,1.1147337834224552e-4,1.2100042315377867e-4,5.983957708265893e-4,1.4026313419607562e-4,1.794144205383615e-5,3.351850802305823e-5,3.682863454151792e-4,2.753802733844618e-5,0.010749850452162285,0.05545585699707942,0.012720363137337697,0.013494493120799466,0.024842534923818573,0.027059361694640908,0.13783032478271579,0.033498715647981986,0.0032900524297125163,0.007899644603962138,0.08620992997642422,0.006175446004433653
ACC,35x,DNA2,53368,5.658348055653852e-5,2.5469972465174865e-4,5.539848619933353e-5,6.591531111952787e-5,1.27386893399537e-4,1.3434873524811633e-4,6.265657663721412e-4,1.644920292095184e-4,2.2366768492244286e-5,3.5401706421499234e-5,3.9304781585543187e-4,3.2809531265113306e-5,0.011317643531704393,0.05771248688352571,0.013322590316294408,0.01435317043921451,0.026851296657172837,0.029493329335931646,0.1429508319592265,0.03863738569929546,0.004009893569180033,0.008057262779193525,0.0911594963273872,0.006670664068355569
ACC,35x,DNA3,58854,4.6003386923809256e-5,2.3162873211710676e-4,5.480111493405599e-5,5.9233558053722285e-5,1.2289955922711087e-4,1.0852769820273834e-4,6.354511636103404e-4,1.4271123680743747e-4,1.6991031958720793e-5,2.8609405590573347e-5,3.944874376503001e-4,2.820645621605823e-5,0.009718965575831719,0.05494953614027934,0.013372073266048187,0.013066231691983553,0.028273354402419546,0.025011044279063446,0.1455975804533252,0.03442416828083053,0.0034662045060658577,0.006847453019335984,0.09375743364936963,0.006337717062561593
ACC,35x,DNA4,48576,7.786935133935284e-5,2.786046593374547e-4,6.476907384130079e-5,9.259699250175918e-5,1.720123393222486e-4,1.575288027094954e-4,6.869915709071641e-4,1.7632485303278747e-4,3.3360955119262976e-5,5.573720550413448e-5,3.966698931863585e-4,4.1416405257816716e-5,0.011445981554677206,0.05710638998682477,0.014286890645586298,0.014122200263504612,0.026618083003952568,0.027750329380764164,0.1507122859025033,0.03514081027667984,0.006175889328063241,0.008872694334650856,0.09243247694334651,0.008378623188405798
K,15x,DNA1,60,0.009156785243741765,0.010013175230566536,0.0038866930171277997,0.009288537549407115,0.008695652173913044,0.00994729907773386,0.007246376811594203,0.005401844532279315,0.004084321475625824,0.002108036890645586,0.0070487483530961795,0.0030303030303030303,0.48333333333333334,0.45,0.3333333333333333,0.43333333333333335,0.43333333333333335,0.45,0.45,0.4666666666666667,0.43333333333333335,0.3,0.48333333333333334,0.3333333333333333
K,15x,DNA2,81,0.00956377476334537,0.013711330145408412,0.0024885332292378256,0.01102761783936762,0.013174587684200254,0.013223382453400996,0.008783058456133502,0.008392700302527568,0.005025861227676393,0.0030252756904459843,0.008246315994925344,0.004537913535668976,0.5679012345679012,0.5432098765432098,0.2839506172839506,0.48148148148148145,0.5185185185185185,0.49382716049382713,0.5185185185185185,0.5432098765432098,0.49382716049382713,0.38271604938271603,0.6049382716049383,0.43209876543209874
K,15x,DNA3,72,0.01366855135313169,0.018389416479112918,0.003952352198495911,0.014382170500082342,0.017675797332162266,0.018663885381786243,0.014766426963824998,0.01103364988746775,0.007081297688971839,0.004665971345446561,0.011857056595487732,0.006038315858813197,0.7083333333333334,0.8194444444444444,0.3888888888888889,0.6805555555555556,0.6805555555555556,0.7916666666666666,0.8055555555555556,0.6944444444444444,0.6805555555555556,0.625,0.7916666666666666,0.6527777777777778
K,15x,DNA4,66,0.009162773984908373,0.01006108515989939,0.002335609054976644,0.010240747394897592,0.010600071864894,0.011139058569888609,0.007545813869924541,0.007545813869924541,0.004910767756617559,0.002635046113306983,0.00730626422326027,0.004371781051622949,0.45454545454545453,0.45454545454545453,0.25757575757575757,0.4696969696969697,0.4696969696969697,0.45454545454545453,0.4696969696969697,0.4393939393939394,0.45454545454545453,0.4090909090909091,0.4696969696969697,0.45454545454545453
K,20x,DNA1,341,0.002051603032199736,0.002364559426942068,5.679579015694184e-4,0.0018429654357048474,0.0021327398752810814,0.0024109233372742655,0.001831374458121798,0.0015879639288777616,0.0010895518928066394,7.650045204812574e-4,0.00179660152537265,8.925052738948003e-4,0.12316715542521994,0.10263929618768329,0.06158357771260997,0.0967741935483871,0.10557184750733138,0.11436950146627566,0.11143695014662756,0.12316715542521994,0.10263929618768329,0.09090909090909091,0.12609970674486803,0.09970674486803519
K,20x,DNA2,257,0.005582639988926995,0.0069821447795395475,0.0013226089229964781,0.005551881641880565,0.005152023130276979,0.006736078003168109,0.004629131230487674,0.004106239330698368,0.0032603847869215508,0.0019685342109715025,0.005090506436184119,0.0027374928871322455,0.28793774319066145,0.3151750972762646,0.16731517509727625,0.28793774319066145,0.3151750972762646,0.3035019455252918,0.28793774319066145,0.2840466926070039,0.2840466926070039,0.245136186770428,0.2918287937743191,0.27626459143968873
K,20x,DNA3,259,0.005035938286865357,0.005112240382120893,0.001266614781241893,0.004654427810587679,0.0051732820583253215,0.00544796960124525,0.0045628652962810354,0.0036930214103679288,0.002868958781608143,0.001480260647957393,0.00416609440095225,0.0025179691434326786,0.2471042471042471,0.27413127413127414,0.14285714285714285,0.2471042471042471,0.2548262548262548,0.2471042471042471,0.2625482625482625,0.2548262548262548,0.24324324324324326,0.21235521235521235,0.25096525096525096,0.23166023166023167
K,20x,DNA4,392,0.002641714896448809,0.0026013833713121864,7.461332150275262e-4,0.0025005545584706286,0.0024602230333340054,0.002954284216257638,0.002056907781967775,0.0018552501562846598,0.0015830123616124544,8.671277904373954e-4,0.002147653713525177,0.00126036016051947,0.125,0.1377551020408163,0.09183673469387756,0.13010204081632654,0.13520408163265307,0.15051020408163265,0.14285714285714285,0.15306122448979592,0.12755102040816327,0.11479591836734694,0.1326530612244898,0.12244897959183673
K,25x,DNA1,517,0.001345545175150227,0.0013302548890689744,4.816440115594563e-4,0.0011620617421751961,0.0012996743169064694,0.0013914160333939848,0.0011620617421751961,0.0010397394535251756,6.957080166969924e-4,3.822571520313145e-4,0.0010856103117689332,5.580954419657192e-4,0.06576402321083172,0.08317214700193423,0.05609284332688588,0.06382978723404255,0.08123791102514506,0.0735009671179884,0.10251450676982592,0.08897485493230174,0.06382978723404255,0.05609284332688588,0.0735009671179884,0.059961315280464215
K,25x,DNA2,1284,0.0016684469590861097,0.001803892837683506,6.218197153789561e-4,0.0016376638048594288,0.0018162060993741785,0.0017669530526114889,0.001674603589931446,0.0013606154168193,8.927114725737487e-4,6.279763462242922e-4,0.0015422360267567177,8.003620098937057e-4,0.08800623052959501,0.11526479750778816,0.0646417445482866,0.09190031152647975,0.10046728971962617,0.09345794392523364,0.1059190031152648,0.10514018691588785,0.08878504672897196,0.08021806853582554,0.09345794392523364,0.08021806853582554
K,25x,DNA3,1062,0.0012653752395839148,0.0011834980181990734,3.163438098959787e-4,0.0010457954185972944,0.00115372448315004,0.0012951487746329482,0.0011016207968142318,9.750832728558403e-4,6.69904538603249e-4,4.279945663298536e-4,0.0010234652673105193,5.396453227637283e-4,0.0696798493408663,0.0687382297551789,0.0423728813559322,0.062146892655367235,0.07909604519774012,0.06779661016949153,0.07250470809792843,0.07627118644067797,0.05555555555555555,0.05273069679849341,0.0696798493408663,0.054613935969868174
K,25x,DNA4,1500,6.613826322501765e-4,7.035424813179169e-4,2.4241913213950695e-4,6.007778492152998e-4,7.035424813179169e-4,7.377973586854559e-4,7.24622405851787e-4,5.559830095808257e-4,3.45183764242124e-4,2.4241913213950695e-4,0.00062976274544937125,3.267388302749876e-4,0.037333333333333336,0.04733333333333333,0.029333333333333333,0.03666666666666667,0.051333333333333335,0.04733333333333333,0.04466666666666667,0.05466666666666667,0.03333333333333333,0.03266666666666666,0.046,0.03266666666666666
K,30x,DNA1,2272,0.0012282062969058247,0.001266479014373145,3.6011147798796847e-4,0.001108169137576502,0.0011777558966079935,0.0013604211390656586,0.0010751154270365435,9.289832330704114e-4,6.923882523633403e-4,4.0012386443107604e-4,0.0010020493300534775,5.897477827918904e-4,0.06029929577464789,0.07702464788732394,0.045774647887323945,0.061179577464788734,0.07966549295774648,0.0761443661971831,0.07526408450704225,0.08098591549295775,0.0625,0.0528169014084507,0.07746478873239436,0.056338028169014086
