Group,numOTUs,cycles,taq,sample_type,sample_name
30x_K_Mock_DNA9,8,30x,K,Mock,DNA9
30x_K_Water,25,30x,K,Water,NA
30x_PHU_Mock_DNA1,9,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,8,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,8,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,10,30x,PHU,Mock,DNA4
30x_PHU_Water,16,30x,PHU,Water,NA
30x_PL_Mock_DNA10,11,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,7,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,10,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,10,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,9,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,8,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,8,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,8,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,11,30x,PL,Mock,DNA8
30x_PL_Mock_DNA9,8,30x,PL,Mock,DNA9
30x_PL_Water,9,30x,PL,Water,NA
30x_Q5_Mock_DNA10,8,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,10,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,8,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA3,8,30x,Q5,Mock,DNA3
30x_Q5_Mock_DNA4,10,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,8,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,9,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,9,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,8,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,10,30x,Q5,Mock,DNA9
30x_Q5_Water,37,30x,Q5,Water,NA
35x_ACC_Mock_DNA1,7,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,8,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,8,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,8,35x,ACC,Mock,DNA4
35x_ACC_Water,7,35x,ACC,Water,NA
35x_K_Mock_DNA1,12,35x,K,Mock,DNA1
35x_K_Mock_DNA2,14,35x,K,Mock,DNA2
35x_K_Mock_DNA3,9,35x,K,Mock,DNA3
35x_K_Mock_DNA4,11,35x,K,Mock,DNA4
35x_K_Water,27,35x,K,Water,NA
35x_PHU_Mock_DNA1,8,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,8,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,9,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,9,35x,PHU,Mock,DNA4
35x_PHU_Water,10,35x,PHU,Water,NA
35x_PL_Mock_DNA1,11,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,9,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,10,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,10,35x,PL,Mock,DNA4
35x_PL_Water,6,35x,PL,Water,NA
35x_Q5_Mock_DNA1,9,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,10,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,9,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,9,35x,Q5,Mock,DNA4
35x_Q5_Water,28,35x,Q5,Water,NA
Zmock_A_111716,8,30x,ACC,Mock,NA
Zmock_B_111716,8,30x,ACC,Mock,NA
Zmock_C_111716,8,30x,ACC,Mock,NA
Zmock_D_111716,8,30x,ACC,Mock,NA
