chi2,Z,pvalue,bh,bac1,bac2,taq,cycle
27.98295, 2.60053535,4.653921e-03,0.016288725,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PHU,thirty
29.77273, 2.5628464,5.190898e-03,0.0181681426,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PHU,thirty_five
29.33523, 2.8643578,2.089279e-03,0.011699961,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PHU,twenty
30.32386, 2.9020467,1.853666e-03,0.0086504432,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PHU,twenty_five
29.51136, 3.31662479,4.555594e-04,0.0031889161,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PL,twenty
30.38636, 3.0151134,1.284416e-03,0.0071927283,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,PL,twenty_five
27.71591, 2.26133508,1.186926e-02,0.0415424017,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,Q5,thirty_five
28.47727, 2.8643578,2.089279e-03,0.0146249515,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,Q5,twenty
30.02273, 2.9397356,1.642462e-03,0.0091977877,Listeria_monocytogenes_16S , Pseudomonas_aeruginosa_16S,Q5,twenty_five
29.51136, 2.14826833,1.584622e-02,0.0443694233,Bacillus_subtilis_16S , Salmonella_enterica_16S_1,PL,twenty
30.07386,-3.5427583,1.979827e-04,0.0018478387,Enterococcus_faecalis_16S , Salmonella_enterica_16S_1,ACC,thirty_five
29.77273,-2.2613351,1.186926e-02,0.0369265793,Enterococcus_faecalis_16S , Salmonella_enterica_16S_1,PHU,thirty_five
29.22727,-4.0327142,2.756816e-05,0.0007719084,Enterococcus_faecalis_16S , Salmonella_enterica_16S_1,PL,thirty_five
27.71591,-2.56284643,5.190898e-03,0.0207635916,Enterococcus_faecalis_16S , Salmonella_enterica_16S_1,Q5,thirty_five
30.07386,-2.4120908,7.930666e-03,0.0277573323,Escherichia_coli_16S_1 , Salmonella_enterica_16S_1,ACC,thirty_five
26.77621,-2.2992347,1.074581e-02,0.0334314003,Lactobacillus_fermentum_16S , Salmonella_enterica_16S_1,ACC,twenty
30.30114,-2.3744018,8.788705e-03,0.0307604662,Lactobacillus_fermentum_16S , Salmonella_enterica_16S_1,ACC,twenty_five
29.22727,-3.0151134,1.284416e-03,0.0071927283,Lactobacillus_fermentum_16S , Salmonella_enterica_16S_1,PL,thirty_five
29.22727,-2.1859572,1.440937e-02,0.0403462266,Listeria_monocytogenes_16S , Salmonella_enterica_16S_1,PL,thirty_five
30.07386,-3.0904913,9.991284e-04,0.0069938985,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,ACC,thirty_five
26.77621,-2.8646203,2.087548e-03,0.0116902667,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,ACC,twenty
30.30114,-3.0151134,1.284416e-03,0.0071927283,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,ACC,twenty_five
29.10795,-2.6382243,4.167072e-03,0.0166682892,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,K,twenty_five
27.98295,-2.60053535,4.653921e-03,0.018615686,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PHU,thirty
29.77273,-2.7136021,3.327803e-03,0.0155297461,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PHU,thirty_five
29.33523,-2.4120908,7.930666e-03,0.027757332,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PHU,twenty
30.32386,-2.5251575,5.782322e-03,0.0231292887,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PHU,twenty_five
29.22727,-3.8065807,7.045066e-05,0.0009863092,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PL,thirty_five
29.51136,-2.07289049,1.909124e-02,0.0445462172,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PL,twenty
30.38636,-2.4120908,7.930666e-03,0.0277573323,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,PL,twenty_five
27.71591,-2.93973561,1.642462e-03,0.0091977877,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,Q5,thirty_five
28.47727,-2.4497797,7.147183e-03,0.0250151391,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,Q5,twenty
30.02273,-2.4874686,6.432791e-03,0.0225147673,Pseudomonas_aeruginosa_16S , Salmonella_enterica_16S_1,Q5,twenty_five
28.34659,-2.63822427,4.167072e-03,0.0166682892,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,ACC,thirty
30.07386,-4.1457810,1.693287e-05,0.0004741204,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,ACC,thirty_five
30.30114,-2.3367129,9.727058e-03,0.0302619586,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,ACC,twenty_five
29.125,-2.1482683,1.584622e-02,0.0492993593,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,K,thirty_five
29.10795,-2.4120908,7.930666e-03,0.0277573323,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,K,twenty_five
27.98295,-3.01511345,1.284416e-03,0.011987880,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,PHU,thirty
29.77273,-3.6935140,1.105882e-04,0.0015482345,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,PHU,thirty_five
29.33523,-2.6759132,3.726297e-03,0.017389388,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,PHU,twenty
29.22727,-3.3920026,3.469189e-04,0.0032379095,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,PL,thirty_five
27.71591,-3.73120289,9.528383e-05,0.0013339737,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,Q5,thirty_five
28.47727,-2.7512910,2.968044e-03,0.0138508724,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,Q5,twenty
30.02273,-2.7136021,3.327803e-03,0.0133112110,Enterococcus_faecalis_16S , Staphylococcus_aureus_16S,Q5,twenty_five
28.34659,-3.46738046,2.627787e-04,0.0036789021,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,ACC,thirty
30.07386,-3.0151134,1.284416e-03,0.0071927283,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,ACC,thirty_five
26.77621,-2.9776974,1.452113e-03,0.0135530518,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,ACC,twenty
30.30114,-3.0528024,1.133576e-03,0.0079350320,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,ACC,twenty_five
29.125,-3.6181361,1.483662e-04,0.0020771262,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,K,thirty_five
24.73323,-3.39231352,0.0003465254,0.004851356,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,K,twenty
29.10795,-3.4673805,2.627787e-04,0.0024526014,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,K,twenty_five
27.98295,-2.86435777,2.089279e-03,0.014624951,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PHU,thirty
29.77273,-2.8643578,2.089279e-03,0.0116999612,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PHU,thirty_five
29.33523,-2.3744018,8.788705e-03,0.027342637,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PHU,twenty
30.32386,-2.4120908,7.930666e-03,0.0277573323,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PHU,twenty_five
29.51136,-2.29902400,1.075179e-02,0.0376312587,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PL,twenty
30.38636,-2.3367129,9.727058e-03,0.0272357628,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,PL,twenty_five
27.71591,-3.01511345,1.284416e-03,0.0119878805,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,Q5,thirty_five
28.47727,-3.5050694,2.282442e-04,0.0021302788,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,Q5,twenty
30.02273,-3.6181361,1.483662e-04,0.0020771262,Escherichia_coli_16S_1 , Staphylococcus_aureus_16S,Q5,twenty_five
30.07386,-2.2236462,1.308613e-02,0.0407124042,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,ACC,thirty_five
26.77621,-3.4300059,3.017841e-04,0.0042249770,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,ACC,twenty
30.30114,-3.5804472,1.715033e-04,0.0016006976,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,ACC,twenty_five
29.125,-2.6005353,4.653921e-03,0.0217183002,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,K,thirty_five
24.73323,-2.77038937,0.0027994658,0.015677008,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,K,twenty
29.10795,-2.8643578,2.089279e-03,0.0116999612,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,K,twenty_five
27.98295,-2.82666886,2.351747e-03,0.013169783,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PHU,thirty
29.77273,-2.5628464,5.190898e-03,0.0207635916,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PHU,thirty_five
29.33523,-3.3920026,3.469189e-04,0.003237910,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PHU,twenty
30.32386,-3.0151134,1.284416e-03,0.0089909103,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PHU,twenty_five
29.22727,-2.3744018,8.788705e-03,0.0307604662,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PL,thirty_five
29.51136,-2.52515751,5.782322e-03,0.0269841701,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PL,twenty
30.38636,-3.0151134,1.284416e-03,0.0089909103,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,PL,twenty_five
28.47727,-2.6005353,4.653921e-03,0.0186156859,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,Q5,twenty
30.02273,-2.7136021,3.327803e-03,0.0155297461,Lactobacillus_fermentum_16S , Staphylococcus_aureus_16S,Q5,twenty_five
26.77621,-2.7703894,2.799466e-03,0.0130641737,Listeria_monocytogenes_16S , Staphylococcus_aureus_16S,ACC,twenty
28.34659,-4.22115882,1.215248e-05,0.0003402694,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,ACC,thirty
30.07386,-3.6935140,1.105882e-04,0.0015482345,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,ACC,thirty_five
26.77621,-3.9953915,3.229372e-05,0.0009042241,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,ACC,twenty
30.30114,-4.2211588,1.215248e-05,0.0003402694,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,ACC,twenty_five
29.125,-4.2211588,1.215248e-05,0.0003402694,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,K,thirty_five
24.73323,-3.88231436,0.0000517335,0.001448538,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,K,twenty
29.10795,-4.1457810,1.693287e-05,0.0004741204,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,K,twenty_five
27.98295,-3.95733640,3.789508e-05,0.001061062,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PHU,thirty
29.77273,-4.1457810,1.693287e-05,0.0004741204,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PHU,thirty_five
29.33523,-3.9196475,4.433929e-05,0.001241500,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PHU,twenty
30.32386,-3.6181361,1.483662e-04,0.0020771262,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PHU,twenty_five
29.22727,-3.1658691,7.731017e-04,0.0054117122,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PL,thirty_five
29.51136,-3.31662479,4.555594e-04,0.0042518881,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PL,twenty
30.38636,-3.6181361,1.483662e-04,0.0020771262,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,PL,twenty_five
27.71591,-4.10809207,1.994705e-05,0.0005585175,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,Q5,thirty_five
28.47727,-4.2211588,1.215248e-05,0.0003402694,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,Q5,twenty
30.02273,-4.2211588,1.215248e-05,0.0003402694,Pseudomonas_aeruginosa_16S , Staphylococcus_aureus_16S,Q5,twenty_five
28.34659,-2.93973561,1.642462e-03,0.0076648230,Salmonella_enterica_16S_1 , Staphylococcus_aureus_16S,ACC,thirty
29.125,-2.4497797,7.147183e-03,0.0285887303,Salmonella_enterica_16S_1 , Staphylococcus_aureus_16S,K,thirty_five
