mtry,logLoss,AUC,prAUC,Accuracy,Kappa,Mean_F1,Mean_Sensitivity,Mean_Specificity,Mean_Pos_Pred_Value,Mean_Neg_Pred_Value,Mean_Precision,Mean_Recall,Mean_Detection_Rate,Mean_Balanced_Accuracy,logLossSD,AUCSD,prAUCSD,AccuracySD,KappaSD,Mean_F1SD,Mean_SensitivitySD,Mean_SpecificitySD,Mean_Pos_Pred_ValueSD,Mean_Neg_Pred_ValueSD,Mean_PrecisionSD,Mean_RecallSD,Mean_Detection_RateSD,Mean_Balanced_AccuracySD,model_run
13,1.673974404645265,0.7133571428571428,0.21404166666666666,0.4005952380952381,0.18789005331862474,NaN,0.5,0.8368095238095238,0.5,0.8858333333333334,0.5,0.5,0.08011904761904762,0.6872619047619047,1.320056557266998,0.11571128907217856,0.04335905575597077,0.18342285486979681,0.26848460396224233,NA,0.1414213562373095,0.053288931819582934,NA,0.041274343466267606,NA,0.1414213562373095,0.036684570973959364,0.08543904219952836,14
13,1.311723493142885,0.7365119047619048,0.25201488095238095,0.3966269841269841,0.19139203117144293,NaN,0.475,0.8383809523809524,0.6,0.8763095238095238,0.6,0.475,0.07932539682539683,0.6679761904761905,0.27427480540624194,0.1297640897102587,0.05077353049307078,0.1415574141884338,0.19726303743388798,NA,0.206155281280883,0.03911350745080986,NA,0.0375564578780357,NA,0.206155281280883,0.02831148283768676,0.12328053965977658,15
13,1.3417914939374864,0.6994642857142856,0.239140873015873,0.2867063492063492,0.05771549610835326,NaN,0.375,0.8102380952380952,NaN,0.8417460317460317,NaN,0.375,0.05734126984126984,0.6065476190476191,0.22406418022806715,0.11143207609918364,0.053208646583817555,0.20858460952957547,0.2785227326066152,NA,0.26299556396765833,0.05647995115828292,NA,0.07560764177705137,NA,0.26299556396765833,0.0417169219059151,0.16382353899070073,16
13,1.3497045052188719,0.7197619047619047,0.24295833333333333,0.37936507936507935,0.17310243563814992,NaN,0.35,0.8333333333333334,0.5,0.8282936507936508,0.5,0.35,0.07587301587301587,0.5875,0.23919154428086495,0.09914384936021597,0.060705789684630314,0.17276418516819034,0.2292256442800521,NA,0.23804761428476165,0.04425355833200412,NA,0.052473403261906144,NA,0.23804761428476165,0.03455283703363807,0.14138627714555385,17
13,1.3218698500851378,0.6838869047619048,0.22224801587301585,0.3555555555555555,0.14489505518076945,NaN,0.425,0.828,0.6,0.8454166666666667,0.6,0.425,0.07111111111111111,0.6358333333333334,0.2098360620383228,0.14897045543971243,0.06132839707965461,0.14830691134026477,0.20607759404772508,NA,0.206155281280883,0.04237399621885521,0,0.05553402360515378,0,0.206155281280883,0.029661382268052955,0.1295969535535862,18
13,1.3648199973731245,0.6923809523809523,0.2554345238095238,0.2759920634920635,0.03813112710434139,NaN,0.3,0.8065238095238095,0.5666666666666667,0.8143055555555556,0.5666666666666667,0.3,0.0551984126984127,0.5577380952380953,0.21014864886483084,0.11515461756847573,0.03943346234969555,0.1781899953285991,0.2411882899409858,NA,0.21602468994692867,0.048093954616432996,NA,0.057537999428038014,NA,0.21602468994692867,0.03563799906571982,0.13357935069736135,19
13,1.3640533694335055,0.6918214285714286,0.22354166666666667,0.25615079365079363,0.010417417417417417,NaN,0.3,0.800952380952381,0.25,0.8148611111111111,0.25,0.3,0.05123015873015873,0.5570238095238096,0.19534535391952326,0.0939697462411003,0.04021319055290744,0.1441205705341746,0.20974687410935614,NA,0.08164965809277261,0.041145110657469015,NA,0.022364939954729032,NA,0.08164965809277261,0.02882411410683492,0.05063523162565589,20
13,1.373825192502388,0.6934821428571428,0.2520922619047619,0.30515873015873013,0.07763323850165955,NaN,0.375,0.8150952380952381,0.3666666666666667,0.8491071428571428,0.3666666666666667,0.375,0.061031746031746034,0.6059523809523809,0.19237605956897824,0.10971383062287349,0.0731510608115942,0.19129837983322326,0.25203249858693033,NA,0.1707825127659933,0.05085316453932238,0.23570226039551584,0.05764802334526335,0.23570226039551584,0.1707825127659933,0.03825967596664465,0.10774153725975884,21
13,1.340987905231396,0.6881101190476191,0.20853968253968252,0.2984126984126984,0.08171039389481508,NaN,0.3,0.814047619047619,NaN,0.8251388888888889,NaN,0.3,0.05968253968253968,0.5571428571428572,0.1953523586667113,0.09274213774504235,0.05083776980359527,0.1335887156998939,0.16107516969284286,NA,0.1414213562373095,0.0329098189821387,NA,0.03601562321379835,NA,0.1414213562373095,0.026717743139978777,0.08431395814107513,22
13,1.3739770974163785,0.6746220238095239,0.2196577380952381,0.26904761904761904,0.031627627627627636,NaN,0.3,0.8046190476190477,0.26666666666666666,0.8300000000000001,0.26666666666666666,0.3,0.05380952380952381,0.5570238095238096,0.1699665674482389,0.1027882131143633,0.07712204249868637,0.11078466784887468,0.13615633137165076,NA,0.08164965809277261,0.02680430277993193,NA,0.042376493434063106,NA,0.08164965809277261,0.022156933569774936,0.048156294734958104,23
13,1.3273995193527974,0.6909107142857143,0.2580208333333333,0.35099206349206347,0.1320030091905092,NaN,0.475,0.8261428571428572,0.6,0.8698809523809523,0.6,0.475,0.07019841269841269,0.6705952380952381,0.21498700097651802,0.12479836360562577,0.043260528231435315,0.19795018844624546,0.27839791987544615,NA,0.22173557826083448,0.05559202884361982,NA,0.055225987695768794,NA,0.22173557826083448,0.03959003768924909,0.13577045621211323,24
