Group,numOTUs,cycles,taq,sample_type,sample_name
30x_ACC_PMM_FS_DA10001,97,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,72,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,91,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,71,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,85,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,112,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,130,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,130,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,72,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,103,30x,ACC,FS,DA10103
30x_K_PMM_FS_DA10002,77,30x,K,FS,DA10002
30x_K_PMM_FS_DA10017,88,30x,K,FS,DA10017
30x_PHU_PMM_FS_DA10001,112,30x,PHU,FS,DA10001
30x_PHU_PMM_FS_DA10002,88,30x,PHU,FS,DA10002
30x_PHU_PMM_FS_DA10016,94,30x,PHU,FS,DA10016
30x_PHU_PMM_FS_DA10017,81,30x,PHU,FS,DA10017
30x_PHU_PMM_FS_DA10029,84,30x,PHU,FS,DA10029
30x_PHU_PMM_FS_DA10040,129,30x,PHU,FS,DA10040
30x_PHU_PMM_FS_DA10055,143,30x,PHU,FS,DA10055
30x_PHU_PMM_FS_DA10069,145,30x,PHU,FS,DA10069
30x_PHU_PMM_FS_DA10088,82,30x,PHU,FS,DA10088
30x_PHU_PMM_FS_DA10103,111,30x,PHU,FS,DA10103
30x_PL_PMM_FS_DA10001,112,30x,PL,FS,DA10001
30x_PL_PMM_FS_DA10002,79,30x,PL,FS,DA10002
30x_PL_PMM_FS_DA10016,91,30x,PL,FS,DA10016
30x_PL_PMM_FS_DA10017,80,30x,PL,FS,DA10017
30x_PL_PMM_FS_DA10029,93,30x,PL,FS,DA10029
30x_PL_PMM_FS_DA10040,117,30x,PL,FS,DA10040
30x_PL_PMM_FS_DA10055,127,30x,PL,FS,DA10055
30x_PL_PMM_FS_DA10069,144,30x,PL,FS,DA10069
30x_PL_PMM_FS_DA10088,82,30x,PL,FS,DA10088
30x_PL_PMM_FS_DA10103,117,30x,PL,FS,DA10103
30x_Q5_PMM_FS_DA10001,99,30x,Q5,FS,DA10001
30x_Q5_PMM_FS_DA10002,91,30x,Q5,FS,DA10002
30x_Q5_PMM_FS_DA10016,84,30x,Q5,FS,DA10016
30x_Q5_PMM_FS_DA10017,84,30x,Q5,FS,DA10017
30x_Q5_PMM_FS_DA10029,88,30x,Q5,FS,DA10029
30x_Q5_PMM_FS_DA10040,121,30x,Q5,FS,DA10040
30x_Q5_PMM_FS_DA10055,126,30x,Q5,FS,DA10055
30x_Q5_PMM_FS_DA10069,123,30x,Q5,FS,DA10069
30x_Q5_PMM_FS_DA10088,76,30x,Q5,FS,DA10088
30x_Q5_PMM_FS_DA10103,105,30x,Q5,FS,DA10103
35x_ACC_PMM_FS_DA10001,92,35x,ACC,FS,DA10001
35x_ACC_PMM_FS_DA10016,84,35x,ACC,FS,DA10016
35x_ACC_PMM_FS_DA10029,86,35x,ACC,FS,DA10029
35x_ACC_PMM_FS_DA10040,106,35x,ACC,FS,DA10040
35x_K_PMM_FS_DA10001,94,35x,K,FS,DA10001
35x_K_PMM_FS_DA10016,83,35x,K,FS,DA10016
35x_K_PMM_FS_DA10029,78,35x,K,FS,DA10029
35x_K_PMM_FS_DA10040,116,35x,K,FS,DA10040
35x_PHU_PMM_FS_DA10001,108,35x,PHU,FS,DA10001
35x_PHU_PMM_FS_DA10016,94,35x,PHU,FS,DA10016
35x_PHU_PMM_FS_DA10029,84,35x,PHU,FS,DA10029
35x_PHU_PMM_FS_DA10040,136,35x,PHU,FS,DA10040
35x_PL_PMM_FS_DA10001,141,35x,PL,FS,DA10001
35x_PL_PMM_FS_DA10016,102,35x,PL,FS,DA10016
35x_PL_PMM_FS_DA10029,94,35x,PL,FS,DA10029
35x_PL_PMM_FS_DA10040,131,35x,PL,FS,DA10040
35x_Q5_PMM_FS_DA10001,116,35x,Q5,FS,DA10001
35x_Q5_PMM_FS_DA10016,96,35x,Q5,FS,DA10016
35x_Q5_PMM_FS_DA10029,96,35x,Q5,FS,DA10029
35x_Q5_PMM_FS_DA10040,142,35x,Q5,FS,DA10040
