diff,lwr,upr,p adj,comparison,cycle,sub_sample_level
13.750000000000007,2.7389372054576544,24.76106279454236,0.010605354710036652,PHU-ACC,30x,5000
46.950000000000024,37.73748391014985,56.1625160898502,2.583822045210127e-12,PL-ACC,30x,5000
23.35,14.137483910149825,32.56251608985018,1.798143484776915e-6,Q5-ACC,30x,5000
33.20000000000002,23.98748391014984,42.41251608985019,3.2116431736284312e-9,PL-PHU,30x,5000
9.599999999999994,0.3874839101498182,18.81251608985017,0.0389258938495427,Q5-PHU,30x,5000
-23.600000000000023,-30.564007577978522,-16.635992422021523,1.0476500778011655e-8,Q5-PL,30x,5000
5.999999999999993,-40.56472673024578,52.564726730245766,0.9807702915758627,PHU-ACC,35x,5000
67.89999999999998,23.724821472729495,112.07517852727045,0.0028694356512212194,PL-ACC,35x,5000
23.749999999999993,-22.81472673024578,70.31472673024577,0.4667051014998621,Q5-ACC,35x,5000
61.89999999999998,17.724821472729495,106.07517852727045,0.005878389251745775,PL-PHU,35x,5000
17.75,-28.814726730245773,64.31472673024578,0.6848665635113095,Q5-PHU,35x,5000
-44.14999999999998,-88.32517852727045,0.025178527270504958,0.050149319338942955,Q5-PL,35x,5000
-2.2499999999999964,-11.330260028220824,6.830260028220831,0.8809017061355805,PHU-ACC,25x,10000
9.750000000000004,0.6697399717791761,18.83026002822083,0.03418492214419755,PL-ACC,25x,10000
-2.5,-11.580260028220827,6.5802600282208275,0.8451625009421531,Q5-ACC,25x,10000
12,2.9197399717791725,21.080260028220827,0.009436285173002545,PL-PHU,25x,10000
-0.25000000000000355,-9.330260028220831,8.830260028220824,0.9997925168382726,Q5-PHU,25x,10000
-12.250000000000004,-21.33026002822083,-3.169739971779176,0.008186084501584867,Q5-PL,25x,10000
31.500000000000007,17.17634377816717,45.82365622183285,1.8616771341073424e-5,PHU-ACC,30x,10000
75.85000000000002,63.86596940537638,87.83403059462366,6.572520305780927e-14,PL-ACC,30x,10000
39.08333333333332,26.91056623647993,51.25610043018671,3.915437163382052e-8,Q5-ACC,30x,10000
44.350000000000016,32.365969405376376,56.334030594623655,2.8292288511977404e-9,PL-PHU,30x,10000
7.583333333333314,-4.589433763520077,19.756100430186706,0.3346824156353527,Q5-PHU,30x,10000
-36.7666666666667,-46.0739820973299,-27.4593512360035,8.085224711962269e-10,Q5-PL,30x,10000
13.250000000000028,0.20287022997072235,26.297129770029336,0.04616472045928566,PHU-ACC,35x,10000
142.50000000000009,129.45287022997078,155.5471297700294,1.9079182678183315e-12,PL-ACC,35x,10000
34.250000000000014,21.202870229970706,47.29712977002932,2.5380263057539487e-5,Q5-ACC,35x,10000
129.25000000000006,116.20287022997076,142.29712977002936,3.999467423909664e-12,PL-PHU,35x,10000
20.999999999999986,7.95287022997068,34.047129770029294,0.002191388241276848,Q5-PHU,35x,10000
-108.25000000000007,-121.29712977002937,-95.20287022997077,4.631017791467684e-11,Q5-PL,35x,10000
