Group,numOTUs,cycles,taq,sample_type,sample_name
30x_PL_Mock_DNA9,27,30x,PL,Mock,DNA9
30x_Q5_Mock_DNA10,18,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,17,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,16,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA3,19,30x,Q5,Mock,DNA3
30x_Q5_Mock_DNA4,18,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,15,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,18,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,20,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,20,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,12,30x,Q5,Mock,DNA9
35x_ACC_Mock_DNA1,15,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,20,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,16,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,15,35x,ACC,Mock,DNA4
35x_ACC_Water,16,35x,ACC,Water,NA
35x_K_Mock_DNA3,39,35x,K,Mock,DNA3
35x_K_Mock_DNA4,35,35x,K,Mock,DNA4
35x_PHU_Mock_DNA1,19,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,20,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,20,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,14,35x,PHU,Mock,DNA4
35x_PHU_Water,73,35x,PHU,Water,NA
35x_PL_Mock_DNA1,41,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,51,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,50,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,56,35x,PL,Mock,DNA4
35x_PL_Water,17,35x,PL,Water,NA
35x_Q5_Mock_DNA1,27,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,25,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,23,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,24,35x,Q5,Mock,DNA4
Zmock_A_111716,11,30x,ACC,Mock,NA
Zmock_B_111716,13,30x,ACC,Mock,NA
Zmock_C_111716,10,30x,ACC,Mock,NA
Zmock_D_111716,9,30x,ACC,Mock,NA
