otu,genus,median_mda,iqr25,iqr75,min_mda,max_mda,other_model
Otu0076,Clostridiales_unclassified,3.183013483529243,2.6700779303539712,3.705375887046359,0.27951845520982105,5.066738568158164,neither
Otu0095,Lactobacillus,3.116794518209435,2.373357984815825,3.8599864076972548,-1.0010015025043828,5.155687801035473,neither
Otu0035,Ruminococcaceae_unclassified,3.0459421662878867,2.563910411236769,3.616577622608784,0.2568063800891847,4.930642042391055,neither
Otu0012,Blautia,3.0239543901464065,2.357735758871852,3.6082151843765335,-0.06965119026327017,4.882733028346352,neither
Otu0090,Lachnospiraceae_unclassified,2.964015123909637,1.806813980511794,3.7755358716712037,-1.7080440517030817,5.108168965885319,neither
Otu0070,Alistipes,2.737400873799138,2.330425758542758,3.182111744792943,-1.0010015025043828,4.174310643994725,neither
Otu0019,Blautia,2.7192985469887185,1.731613563531883,3.28484668660251,-1.7346907781282193,4.90264574133948,neither
Otu0046,Dorea,2.6309399435807292,2.1378627880134324,3.2640746111078904,-1.0010015025043828,5.3719016299306315,neither
Otu0047,Slackia,2.621146111884427,0.6467506555090893,4.282116179979564,-1.8963479532590986,5.954851361855249,polymerase
Otu0241,Ruminococcaceae_unclassified,2.5917083281254234,1.5060225428025478,3.164782228845021,-1.7230391609747897,4.694609411501399,neither
Otu0452,Lachnospiraceae_unclassified,2.5011319735977082,1.4202576077835651,3.542891161662033,-1.4138993974103442,5.409663757340274,neither
Otu0085,Roseburia,2.272114556249875,1.38359244153185,2.913085306640876,-1.8807619362055155,4.3463214053631,neither
Otu0061,Turicibacter,2.243413108621156,1.4629774560909472,3.0418949058384657,-1.3745785629752902,4.6485437694434415,neither
Otu0115,Ruminococcus,2.180109728564357,1.6757738542836722,2.548260990385381,-0.9296511877927696,3.5409327163290323,neither
Otu0224,Lachnospiraceae_unclassified,2.1320750873532472,1.2115508675806232,2.6996780976533308,-1.7300341022375418,3.7940810463094206,neither
Otu0156,Clostridium_IV,2.0625842523450313,1.485624753543862,3.0954920513877537,-1.69221677980475,5.186854951246031,neither
Otu0049,Lachnospiraceae_unclassified,1.9420792110925384,1.3836942693091892,2.5394687727864533,-1.4150840480027063,3.998510754472304,neither
Otu0152,Ruminococcaceae_unclassified,1.841270512744712,1.0010015025043828,2.232689797225747,-1.9446422707059672,3.3983037000397927,neither
Otu0235,Erysipelotrichaceae_unclassified,1.8158371471752812,1.3440622799127366,2.168226666410027,-1.106697993070126,3.4743128974764717,neither
Otu0044,Lachnospiraceae_unclassified,1.7382172503847153,1.289591936423824,2.1219772055479313,-1.4150840480027063,3.391992796791633,neither
Otu0139,Faecalibacterium,1.7329482661485396,1.0285688104429953,2.63995125646689,-1.1720180773462388,4.233420577555113,neither
Otu0045,Ruminococcaceae_unclassified,1.7159703631011367,0.1393261224087308,2.674740981351978,-1.7108683041375286,4.109295841274036,neither
Otu0312,Bacillales_unclassified,1.6227987614013855,1.001001502504383,1.9804052807453738,-1.4699540925700612,3.1397084870601044,neither
Otu0060,Bacilli_unclassified,1.6160465667037793,1.0010015025043828,2.054822867348726,-1.406064427875448,3.449835432608273,neither
Otu0107,Ruminococcaceae_unclassified,1.5484019013808394,0.44148994491415466,2.579497682749629,-1.4170505031628393,3.7320166826303423,neither
Otu0033,Clostridiales_unclassified,1.4445170524299829,1.0010015025043828,2.036679145620619,-1.4150840480027063,3.2924277577686865,neither
Otu0136,Blautia,1.4083489588005664,1.0010015025043828,1.8416900466324404,-1.4170505031628393,3.1213334425935146,neither
Otu0170,Enterorhabdus,1.3894250359418208,1.0010015025043828,1.6906663603151668,-1.001001502504383,2.769992738688476,neither
Otu0015,Lachnospiraceae_unclassified,1.3870039177990359,0.34947375999919844,1.9905446619763845,-1.4170505031628393,3.50235472429397,cycles
Otu0254,Clostridiales_unclassified,1.3806213671586458,1.0010015025043828,1.6870068599973862,-1.0010015025043828,2.9198181029485504,neither
Otu0257,Ruminococcaceae_unclassified,1.3396151008486559,1.0010015025043828,1.7236449002991021,-1.725261218666305,2.5428353416706893,neither
Otu0065,Asaccharobacter,1.2771781019376003,0.6494327190717138,1.7191543476146798,-1.7329174830334544,3.010923694983981,neither
Otu0188,Bacillales_unclassified,1.1865745331047506,0,1.6596392057791827,-1.7105892498099804,2.8527407018673774,neither
